[train: 1, 1600 / 30000] FPS: 26.7 (27.5)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.62121  ,  Loss/giou: 0.76341  ,  Loss/l1: 0.12441  ,  Loss/location: 2.47233  ,  IoU: 0.36923
[train: 1, 1650 / 30000] FPS: 26.7 (27.9)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.56992  ,  Loss/giou: 0.76150  ,  Loss/l1: 0.12350  ,  Loss/location: 2.42943  ,  IoU: 0.37049
[train: 1, 1700 / 30000] FPS: 26.7 (27.9)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.52064  ,  Loss/giou: 0.75951  ,  Loss/l1: 0.12301  ,  Loss/location: 2.38656  ,  IoU: 0.37287
[train: 1, 1750 / 30000] FPS: 26.7 (21.0)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.47203  ,  Loss/giou: 0.75714  ,  Loss/l1: 0.12238  ,  Loss/location: 2.34587  ,  IoU: 0.37473
[train: 1, 1800 / 30000] FPS: 26.7 (26.9)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.41659  ,  Loss/giou: 0.75233  ,  Loss/l1: 0.12116  ,  Loss/location: 2.30610  ,  IoU: 0.37811
[train: 1, 1850 / 30000] FPS: 26.8 (27.9)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.37706  ,  Loss/giou: 0.75140  ,  Loss/l1: 0.12092  ,  Loss/location: 2.26966  ,  IoU: 0.37924
[train: 1, 1900 / 30000] FPS: 26.8 (26.9)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.33402  ,  Loss/giou: 0.74895  ,  Loss/l1: 0.12028  ,  Loss/location: 2.23471  ,  IoU: 0.38136
[train: 1, 1950 / 30000] FPS: 26.8 (28.3)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.30094  ,  Loss/giou: 0.74762  ,  Loss/l1: 0.12000  ,  Loss/location: 2.20572  ,  IoU: 0.38239
[train: 1, 2000 / 30000] FPS: 26.8 (27.5)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.26567  ,  Loss/giou: 0.74557  ,  Loss/l1: 0.11948  ,  Loss/location: 2.17715  ,  IoU: 0.38378
[train: 1, 2050 / 30000] FPS: 26.8 (26.0)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.22694  ,  Loss/giou: 0.74282  ,  Loss/l1: 0.11889  ,  Loss/location: 2.14686  ,  IoU: 0.38611
[train: 1, 2100 / 30000] FPS: 26.7 (23.1)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.18764  ,  Loss/giou: 0.73905  ,  Loss/l1: 0.11794  ,  Loss/location: 2.11986  ,  IoU: 0.38885
